record_source,priority,category,assignment_group,location,contact_type,impact,urgency,reassignment_count,reopen_count,sla_target_minutes,breached
EXTERNAL_SERVICENOW,3 - Moderate,Category 37,Group 50,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,IT Support,Kisumu,Email,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 61,Group 73,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Delivery,Delivery,Mombasa,Email,High,Medium,0,1,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 57,Group 34,Location 229,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Relocation,IT Support,Mombasa,Email,Low,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 51,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Delivery,Nairobi,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 40,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 53,Group 76,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 37,Group 25,Location 222,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 28,Group 64,Location 188,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 23,Group 20,Location 199,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 24,Group 27,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Maintenance,Maintenance,Kisumu,Portal,High,High,1,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Maintenance,Mombasa,Portal,Medium,Low,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 9,?,Location 128,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 34,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Delivery,Delivery,Kisumu,Email,Low,Low,0,1,1440,1
EXTERNAL_SERVICENOW,3 - Moderate,Category 45,Group 56,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Relocation,Relocation Operations,Nairobi,Phone,Low,Medium,1,0,480,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Maintenance,Countrywide,Portal,Medium,Low,1,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 26,Group 28,Location 143,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Relocation,IT Support,Kisumu,Email,Medium,Low,2,1,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 20,Group 70,Location 108,Phone,2 - Medium,2 - Medium,0,0,1440,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 9,Group 70,Location 180,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,High,Delivery,Relocation Operations,Nairobi,Portal,Medium,Medium,0,0,480,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 71,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Inspection,Field Services,Kisumu,Portal,High,High,0,0,240,0
SIMULATED_CONTRACTORLINK,Critical,Incident Support,Relocation Operations,Kisumu,Portal,High,Medium,0,1,240,1
SIMULATED_CONTRACTORLINK,High,Inspection,IT Support,Mombasa,Phone,Low,Medium,0,0,480,0
SIMULATED_CONTRACTORLINK,Normal,Maintenance,Maintenance,Nairobi,Portal,Low,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Maintenance,Relocation Operations,Nairobi,Portal,High,Medium,0,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 42,Group 70,Location 204,Phone,2 - Medium,2 - Medium,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Incident Support,Delivery,Countrywide,Email,Medium,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Normal,Inspection,Field Services,Countrywide,Portal,Low,Low,0,0,1440,0
SIMULATED_CONTRACTORLINK,Critical,Relocation,IT Support,Countrywide,Email,High,Medium,0,0,240,0
EXTERNAL_SERVICENOW,3 - Moderate,Category 46,Group 2,Location 93,Phone,2 - Medium,2 - Medium,0,0,1440,0
